model_name,accuracy,weighted_precision,weighted_recall,weighted_f1,class1_precision,class1_recall,class1_f1
LogisticRegression,0.8778492893537141,0.8710393005359083,0.8778492893537141,0.8612057824347514,0.8066176470588236,0.4130271084337349,0.5463147410358565
NaiveBayes,0.8713462054170019,0.8603686965826592,0.8713462054170018,0.8607874099150912,0.7076056338028169,0.47289156626506024,0.566914917625818
LinearSVC,0.8712791633145616,0.8614869438322976,0.8712791633145615,0.8634596296409321,0.6869918699186992,0.5090361445783133,0.5847750865051903
GBTClassifier,0.863703405738804,0.8572780188033552,0.863703405738804,0.8597954729929868,0.6353759235115167,0.5504518072289156,0.5898729070002018
RandomForestClassifier,0.8411102172164119,0.84252886931441,0.8411102172164119,0.8418026620761125,0.5526509572901326,0.5651355421686747,0.5588235294117646
